,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Player,TOI/GP_x,Goals/60_x,Total Assists/60_x,IPP_x,Shots/60_x,SH%_x,ixG/60_x,iCF/60_x,iSCF/60_x,iHDCF/60_x,Hits/60_x,Shots Blocked/60_x,TOI/GP_y,Goals/60_y,Total Assists/60_y,IPP_y,Shots/60_y,SH%_y,ixG/60_y,iCF/60_y,iSCF/60_y,iHDCF/60_y,Hits/60_y,Shots Blocked/60_y,Goal_Proj,Assist_Proj,Shots_Proj,Hits_Proj,Shots_Blocked_Proj,TOI_GP_Proj
0,0,0,0,0,1,Jeff Carter,17.670833333333,0.85,1.16,64.29,8.94,9.5,0.92,14.07,7.86,4.15,4.42,2.23,13.706329113924,0.72,0.89,61.7,7.7,9.35,0.94,13.3,7.81,4.16,4.43,2.99,0.7916310045673741,0.9861088580944531,7.75811929222786,4.354598899578836,2.603913617890361,14.553387869217827
1,1,1,1,1,3,Zach Parise,15.282113821138,0.72,0.96,55.56,6.61,10.87,0.84,9.72,7.23,3.97,2.87,2.73,16.141666666667,0.95,0.59,64.15,8.25,11.54,1.23,12.47,9.29,5.76,4.03,3.76,0.8468876004587291,0.8309313878738734,7.458151983666066,3.695118317818315,3.1932367571451468,16.140121476697324
2,2,2,2,2,6,Corey Perry,13.514837398374,1.03,1.14,62.5,8.28,12.42,1.16,13.1,10.34,6.55,3.95,1.52,11.562345679012,0.77,0.83,48.08,7.43,10.34,1.04,12.43,8.91,5.51,3.08,1.6,0.8738365216929083,0.9499159277832409,7.708411087856596,3.341659573199256,1.5968874187672248,12.582867980547793
3,3,3,3,3,8,Patrice Bergeron,18.180136986301,1.13,1.81,65.66,13.25,8.53,1.33,19.3,12.57,5.2,3.53,2.03,17.391666666667,1.19,1.37,52.73,11.01,10.84,1.37,19.33,13.27,5.93,2.92,2.39,1.3064334150964934,1.526702026256272,11.60753809519738,3.12881226617894,2.200636473842691,17.332517044533482
4,4,4,4,4,9,Joe Pavelski,18.473983739837,1.07,2.14,70.43,8.56,12.5,1.16,14.81,9.78,5.94,4.12,2.73,17.722764227642,1.16,2.02,55.0,7.64,15.14,1.16,13.95,10.49,6.28,3.84,2.64,1.1641821321534571,1.7965076227123866,8.757494566998563,3.8878118346802304,2.5505873223943083,17.60493601818966
5,5,5,5,5,10,Alex Ovechkin,20.571861471861,1.89,1.52,69.77,12.65,14.97,1.35,24.32,10.83,2.69,5.87,0.95,20.204109589041,1.71,1.34,68.18,11.96,14.29,1.4,23.51,11.11,3.82,7.65,0.94,1.503847147299389,1.639586879110995,12.40521020616367,6.854441742855382,1.050031403310279,19.636967544947396
6,6,6,6,6,11,Evgeni Malkin,18.329674796748,1.6,1.76,73.68,10.3,15.5,1.05,16.21,10.06,3.83,1.68,1.44,18.580487804878,1.06,2.21,75.45,9.45,11.25,1.04,16.42,10.32,4.02,2.09,1.3,1.284007794888243,1.9595313189462955,10.373652562005368,2.108407582603952,1.4011489128579335,18.22766009391981
7,7,7,7,7,13,Blake Wheeler,19.538205128205,0.8,2.03,75.0,7.89,10.18,0.92,12.43,8.93,4.25,2.93,1.75,17.044212962963,0.78,1.91,74.32,6.16,12.7,0.92,12.42,7.87,4.06,2.64,1.71,0.9660023778526218,1.6715387861170858,7.993301837166469,2.790717303730016,1.7278555342832171,17.199365051181807
8,8,8,8,8,15,Paul Stastny,17.783098591549,1.0,1.14,55.56,6.7,14.89,0.94,9.31,7.65,5.37,1.28,1.28,11.870091324201,0.62,0.9,52.38,5.54,11.25,0.99,9.49,7.55,5.12,1.45,1.25,0.7478548016997298,0.9457624713138452,6.207700222652762,1.583065878899605,1.3252586770330668,13.202218541279366
9,9,9,9,9,16,Sidney Crosby,19.974396135266,1.35,2.31,71.79,9.06,14.9,1.05,14.54,9.14,4.53,2.18,1.61,20.143495934959,1.2,2.18,70.99,9.26,12.94,1.2,16.09,9.77,5.23,2.58,1.71,1.2428862607920237,1.9800719428662843,9.14768641220486,2.559975221258864,1.6865550714814133,19.537269949039406
10,10,10,10,10,17,Anze Kopitar,20.769547325103,0.68,1.71,72.83,7.49,9.05,0.69,12.59,6.92,2.67,2.57,2.53,20.302235772358,1.01,1.66,66.67,6.09,16.57,0.72,10.45,6.7,3.39,2.45,3.14,0.9013525698179152,1.5608353409314648,7.300006978298588,2.573304168836592,2.77848373033407,19.72783955379666
